"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"POPULARITY";"PRICE";
"3";"";"SMD2";"SMD1,27-2,54";"FB+, FB-, FB_SIGNAL";"SMD PAD";"";"";"";"";"";"";"";"";"";"";"15";"";
"2";"0.1u";"C0603";"C0603";"C1, C2";"Standard Chip CAPACITOR 0605 (1608 Metric)";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.2M";"R0603";"R0603";"RFBT";"Standard Chip RESISTOR 0603 (1608 Metric)";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10k";"R0603";"R0603";"R2";"Standard Chip RESISTOR 0603 (1608 Metric)";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10u";"C0805";"C0805";"CIN, COUT";"Standard Chip CAPACITOR 0805 (2012 Metric)";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1u";"C0603";"C0603";"C4";"Standard Chip CAPACITOR 0605 (1608 Metric)";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"200R";"R0603";"R0603";"R3, R4";"Standard Chip RESISTOR 0603 (1608 Metric)";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"20k";"R0603";"R0603";"R1";"Standard Chip RESISTOR 0603 (1608 Metric)";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"3300p";"C0603";"C0603";"CSS";"Standard Chip CAPACITOR 0605 (1608 Metric)";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"380k";"R0603";"R0603";"RFBB";"Standard Chip RESISTOR 0603 (1608 Metric)";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7u";"C0603";"C0603";"C5";"Standard Chip CAPACITOR 0605 (1608 Metric)";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"5k";"R0603";"R0603";"RPUP1, RPUP2";"Standard Chip RESISTOR 0603 (1608 Metric)";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BSS138LT3G";"BSS138LT3G";"SOT23";"Q1";"BSS138LT3G N-Channel Mosfet (SOT-23)";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"CHIP-LED0603";"CHIP-LED0603";"CHIP-LED0603";"D1, D2";"CHIP-LED0603 (SMD)";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"JST-ZR-03";"ZR_B3B-ZR";"B3B-ZR";"DEBUG_CON";"JST ZR Connector, through hole, 3 pin, top entry";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"JST-ZR-03";"ZR_B5B-ZR";"B5B-ZR";"TOF1, TOF2, TOF3, TOF4, TOF5";"JST ZR Connector, through hole, 5 pin, top entry";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"JST-ZR-06";"ZR_B6B-ZR";"B6B-ZR";"CON1";"JST ZR Connector, through hole, 6 pin, top entry";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"KMR621NGLFS";"KMR621NGLFS";"KMR621NGLFS";"S2";"C&K KMR621NG LFS Tactile SPST switch (SMD)";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LMZ21701";"LMZ21701";"LMZ21701";"S1";"3V to 17V, 1A Step-Down DC/DC Power Module in 3.5mm  3.5mm Package";"";"3V to 17V, 1A Step-Down DC/DC Power Module in 3.5mm  3.5mm Package";"mm";"Texas Instruments";"LMZ21701SILR";"";"595-LMZ21701SILR";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-LMZ21701SILR";"";"";"";"";
"8";"PAD-SMD-ROUND-1.27PAD";"PAD-SMD-ROUND-1.27PAD";"PAD.03X.05";"ENC_3.3V, ENC_A, ENC_B, ENC_GND, SM_3.3V, SM_GND, SM_KILL, SM_START";"SMD PAD";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"STM32F031G6U6";"STM32F031G6U6";"QFN50P400X400X60-28N";"U1";"Mainstream ARM Cortex-M0 Access line MCU with 32 Kbytes Flash, 48 MHz CPU, motor control";"Unavailable";" ARM® Cortex®-M0 STM32F0 Microcontroller IC 32-Bit 48MHz 32KB _32K x 8_ FLASH ";"";"";"";"STMicroelectronics";"";"";"STM32F031G6U6";"UFQFN-28 STMicroelectronics";"";"None";
